pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
baseline_00000000,2.4042086039659947,225.68753902719675,3000,1000,1,A100,user_0085
baseline_00000001,4.740398259790448,1471.6001671564704,2000,2000,2,V100,user_0043
baseline_00000002,7.125159259664702,5.220259314649679,3000,1000,1,H100,user_0028
baseline_00000003,7.404953549516286,129.8921927036559,6000,1000,1,T4,user_0019
baseline_00000004,7.491390949214662,233.49393999558063,4000,1000,1,H100,user_0117
baseline_00000005,8.944051464920813,276.6728955792917,5000,0,0,,user_0000
baseline_00000006,10.354012159178389,107.27025064449896,4000,0,0,,user_0129
baseline_00000007,13.478308115727884,15.39878671747639,2000,0,0,,user_0086
baseline_00000008,13.557602312911394,289.5395687477972,6000,0,0,,user_0073
baseline_00000009,14.604163159454558,2117.727332966001,4000,1000,1,A100,user_0153
baseline_00000010,14.674599466252364,20.95085423586843,7000,8000,8,V100,user_0107
baseline_00000011,15.763623094276324,620.0816955926906,4000,0,0,,user_0146
baseline_00000012,17.494950447160132,114.06924055447166,6000,2000,2,A100,user_0141
baseline_00000013,17.881845271750045,166.6007383487465,2000,1000,1,H100,user_0006
baseline_00000014,19.113430934411618,41.02559010342373,5000,0,0,,user_0043
baseline_00000015,19.267204188237844,113.11492318997612,5000,8000,8,V100,user_0113
baseline_00000016,19.35878145562804,1153.11688013456,6000,2000,2,A100,user_0195
baseline_00000017,19.67396065776043,415.7731410410871,16000,1000,1,V100,user_0030
baseline_00000018,20.575159933130585,2132.728444035479,8000,0,0,,user_0021
baseline_00000019,20.988145262869075,968.5465977342894,7000,0,0,,user_0188
baseline_00000020,22.235531212682695,339.039868727894,4000,0,0,,user_0193
baseline_00000021,22.45910758489502,2168.288632129141,4000,0,0,,user_0033
baseline_00000022,24.29707784903948,338.99482013976177,6000,0,0,,user_0080
baseline_00000023,25.524163712253745,589.2750598192963,10000,1000,1,V100,user_0125
baseline_00000024,26.17995986621674,119.35175483944424,4000,0,0,,user_0039
baseline_00000025,26.59704657252856,199.74582462149704,6000,0,0,,user_0065
baseline_00000026,27.050366261826824,67.69380333858412,9000,2000,2,H100,user_0079
baseline_00000027,27.12744340888248,741.4972256798615,6000,0,0,,user_0128
baseline_00000028,27.30707566325703,34.40559597551306,4000,1000,1,H100,user_0061
baseline_00000029,27.992396114861283,552.2534888551796,3000,1000,1,H100,user_0082
baseline_00000030,28.381076351021104,138.68336001709514,7000,0,0,,user_0057
baseline_00000031,29.64528320858621,960.0913871668556,2000,1000,1,V100,user_0151
baseline_00000032,30.353773836002336,528.0815018609468,13000,8000,8,A100,user_0030
baseline_00000033,30.591703790300357,2418.3330826429988,6000,0,0,,user_0046
baseline_00000034,31.052792126557826,513.2093881240428,9000,2000,2,V100,user_0049
baseline_00000035,31.69434886374834,19.8705435705849,1000,2000,2,V100,user_0181
baseline_00000036,32.038182225186134,165.2757348510658,3000,2000,2,V100,user_0188
baseline_00000037,32.36009344609244,34.7105651272334,5000,2000,2,T4,user_0100
baseline_00000038,33.239008128284986,87.19882369279846,4000,0,0,,user_0031
baseline_00000039,33.535955337213785,1557.1826401447884,8000,1000,1,H100,user_0151
baseline_00000040,34.869657762245666,449.5022789736009,9000,1000,1,A100,user_0098
baseline_00000041,36.26052174849157,67.54994173128561,5000,1000,1,A100,user_0169
baseline_00000042,37.34460467645676,43.34810726726509,1000,0,0,,user_0071
baseline_00000043,37.4176330244372,190.3998806779624,11000,0,0,,user_0199
baseline_00000044,38.55170052615995,32.610235126372515,6000,0,0,,user_0161
baseline_00000045,39.90603851402512,70.25381614640607,4000,1000,1,H100,user_0044
baseline_00000046,41.02807816548255,283.03891568349337,5000,1000,1,H100,user_0145
baseline_00000047,41.30812728571897,938.5765458784418,3000,0,0,,user_0057
baseline_00000048,41.629063476755,431.490161141461,2000,1000,1,V100,user_0069
baseline_00000049,41.7947993840566,7.474274696373102,7000,0,0,,user_0050
baseline_00000050,42.14916289674806,279.9828882126935,2000,2000,2,T4,user_0136
baseline_00000051,42.17030265315785,201.30773569953195,4000,1000,1,H100,user_0052
baseline_00000052,42.33765904927356,327.1170120728559,4000,2000,2,V100,user_0127
baseline_00000053,43.65271589382072,1808.008911917589,2000,8000,8,T4,user_0116
baseline_00000054,47.64847216500556,10.139702106768622,7000,0,0,,user_0150
baseline_00000055,48.21201025739419,78.66606300892514,6000,2000,2,A100,user_0198
baseline_00000056,48.496049958995016,420.6776657389793,5000,1000,1,A100,user_0001
baseline_00000057,48.89380621290225,19.609256821362937,3000,4000,4,A100,user_0198
baseline_00000058,49.25514843583717,1480.960400352589,6000,0,0,,user_0021
