node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,135000,8,8000,V100
node_0001,135000,8,8000,A100
node_0002,135000,8,8000,A100
node_0003,135000,8,8000,A100
node_0004,135000,8,8000,H100
node_0005,135000,8,8000,H100
node_0006,135000,8,8000,V100
node_0007,135000,8,8000,V100
node_0008,135000,8,8000,V100
node_0009,135000,8,8000,H100
node_0010,135000,8,8000,H100
node_0011,135000,8,8000,A100
node_0012,135000,8,8000,H100
node_0013,135000,8,8000,A100
node_0014,135000,8,8000,V100
node_0015,135000,8,8000,A100
node_0016,135000,8,8000,H100
node_0017,135000,8,8000,V100
node_0018,135000,8,8000,T4
node_0019,135000,8,8000,T4
