pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
bursty_arrivals_00000000,1.3556554978161557,81.8000608626009,3000,1000,1,H100,user_0172
bursty_arrivals_00000001,2.083608545328943,96.99827015854147,6000,1000,1,V100,user_0119
bursty_arrivals_00000002,2.331878753072939,171.7893542623475,9000,0,0,,user_0025
bursty_arrivals_00000003,3.220104001764886,340.66619767487464,9000,0,0,,user_0062
bursty_arrivals_00000004,3.270727360720809,118.03071988580606,5000,0,0,,user_0137
bursty_arrivals_00000005,3.9576551595545655,101.68923945808972,7000,4000,4,T4,user_0066
bursty_arrivals_00000006,6.045890661342218,207.19866971623952,6000,0,0,,user_0117
bursty_arrivals_00000007,6.062702421067231,12.298916590669954,5000,0,0,,user_0138
bursty_arrivals_00000008,6.646612511531146,357.8234356517943,4000,2000,2,H100,user_0065
bursty_arrivals_00000009,7.623276626640026,181.60018887810145,2000,1000,1,H100,user_0129
bursty_arrivals_00000010,8.539065997521867,192.27661696663148,7000,1000,1,T4,user_0079
bursty_arrivals_00000011,8.94588126499142,711.692683024168,7000,0,0,,user_0027
bursty_arrivals_00000012,9.921502421461168,11.77624928097971,3000,0,0,,user_0074
bursty_arrivals_00000013,10.59912634413417,11.444610734819651,7000,2000,2,V100,user_0088
bursty_arrivals_00000014,11.500736003707908,268.0888755880901,5000,1000,1,T4,user_0000
bursty_arrivals_00000015,12.11099066913176,179.91923348681507,7000,2000,2,T4,user_0178
bursty_arrivals_00000016,13.10827888937897,231.40295976329332,22000,1000,1,V100,user_0105
bursty_arrivals_00000017,13.759266778889064,94.40932262301467,2000,1000,1,A100,user_0007
bursty_arrivals_00000018,14.074940996334456,466.96938395540514,5000,1000,1,A100,user_0173
bursty_arrivals_00000019,14.07610234245346,683.8199142780906,4000,2000,2,T4,user_0171
bursty_arrivals_00000020,14.45996237255983,361.3733192029055,8000,1000,1,H100,user_0002
bursty_arrivals_00000021,15.112158715016871,125.55223399937664,4000,0,0,,user_0032
bursty_arrivals_00000022,15.70614914277978,9.550152725900034,5000,0,0,,user_0072
bursty_arrivals_00000023,17.753399599697417,542.0524527876718,5000,0,0,,user_0101
bursty_arrivals_00000024,17.84161200788612,1031.5616030733304,8000,0,0,,user_0145
bursty_arrivals_00000025,18.28264490457704,454.0129846034668,4000,0,0,,user_0084
bursty_arrivals_00000026,18.453611736958017,52.35075279016775,14000,1000,1,H100,user_0122
bursty_arrivals_00000027,18.52629273069851,473.2782509484057,9000,0,0,,user_0002
bursty_arrivals_00000028,18.5431272979789,617.1804916739635,3000,2000,2,H100,user_0131
bursty_arrivals_00000029,18.62546742611432,1666.2515324156532,2000,0,0,,user_0183
bursty_arrivals_00000030,19.17939152443779,52.61195061120897,9000,0,0,,user_0105
bursty_arrivals_00000031,19.25029628228988,131.8202809489434,5000,0,0,,user_0090
bursty_arrivals_00000032,19.29691436001515,525.3880057533611,2000,1000,1,A100,user_0059
bursty_arrivals_00000033,19.30284251800205,197.1725363386425,6000,0,0,,user_0190
bursty_arrivals_00000034,19.5271122548942,37.477107075553135,5000,1000,1,V100,user_0006
bursty_arrivals_00000035,19.66573482262019,327.45460507064365,5000,4000,4,V100,user_0057
bursty_arrivals_00000036,20.048321790979767,413.419903026523,1000,1000,1,A100,user_0027
bursty_arrivals_00000037,20.76018199919318,205.91120321414132,3000,8000,8,H100,user_0173
bursty_arrivals_00000038,21.247986844973678,248.22062184326904,5000,1000,1,A100,user_0096
bursty_arrivals_00000039,21.323773626742312,125.9304621474726,4000,1000,1,H100,user_0184
bursty_arrivals_00000040,21.470353865802068,1485.8770406375722,6000,0,0,,user_0133
bursty_arrivals_00000041,22.326541936036783,50.8212382840025,4000,0,0,,user_0111
bursty_arrivals_00000042,22.512641155024657,79.08784375006076,14000,4000,4,T4,user_0103
bursty_arrivals_00000043,23.032452911572484,184.6006825396226,2000,0,0,,user_0040
bursty_arrivals_00000044,23.42396758411158,633.5624187313944,4000,0,0,,user_0112
bursty_arrivals_00000045,24.18951979470805,22.039651863721804,10000,0,0,,user_0137
bursty_arrivals_00000046,24.93853669839905,28.60308062948322,6000,2000,2,H100,user_0193
bursty_arrivals_00000047,25.01623477862432,10.495263322611754,5000,1000,1,V100,user_0109
bursty_arrivals_00000048,25.871700006822323,190.37640983308063,2000,1000,1,V100,user_0187
bursty_arrivals_00000049,25.94200867712146,37.42569900431297,4000,4000,4,T4,user_0188
bursty_arrivals_00000050,25.971429381835872,105.36795061418483,15000,4000,4,T4,user_0104
bursty_arrivals_00000051,27.74779712962516,464.9984855571335,8000,0,0,,user_0087
bursty_arrivals_00000052,28.64019749469562,73.2535922044959,5000,4000,4,T4,user_0028
bursty_arrivals_00000053,28.86501216701166,252.37823780759803,5000,2000,2,A100,user_0053
bursty_arrivals_00000054,29.290457790636456,118.88477740848242,2000,0,0,,user_0175
bursty_arrivals_00000055,29.291734140974253,472.1493109716746,7000,1000,1,V100,user_0027
bursty_arrivals_00000056,30.11137098838501,356.85508420624944,8000,0,0,,user_0079
bursty_arrivals_00000057,30.65984910778674,68.22065812418052,7000,1000,1,A100,user_0139
bursty_arrivals_00000058,30.81734055430257,143.07710392476005,10000,1000,1,V100,user_0048
bursty_arrivals_00000059,31.32428272610945,800.8641446910372,6000,1000,1,V100,user_0194
bursty_arrivals_00000060,31.352774533295868,317.7209230319241,3000,0,0,,user_0129
bursty_arrivals_00000061,31.898739998283407,25.344872344503116,12000,1000,1,A100,user_0005
bursty_arrivals_00000062,32.36104165477315,461.20673092863353,2000,1000,1,A100,user_0049
bursty_arrivals_00000063,33.005162409645365,39.2383594042598,3000,0,0,,user_0148
bursty_arrivals_00000064,33.00932712753254,1353.171297493457,7000,1000,1,A100,user_0172
bursty_arrivals_00000065,33.54441430899465,778.8001247078691,2000,4000,4,T4,user_0185
bursty_arrivals_00000066,33.68270304141014,274.28277995234725,6000,2000,2,H100,user_0170
bursty_arrivals_00000067,33.727411164331535,227.18900954057,2000,0,0,,user_0014
bursty_arrivals_00000068,34.02304898144635,135.1162528667918,7000,0,0,,user_0145
bursty_arrivals_00000069,35.49801563476634,476.4708411022498,4000,0,0,,user_0022
bursty_arrivals_00000070,35.51448223903911,107.44302181023136,6000,0,0,,user_0015
bursty_arrivals_00000071,35.64491766344008,253.91972856486188,6000,0,0,,user_0138
bursty_arrivals_00000072,37.55142588011728,627.2702083579719,12000,0,0,,user_0095
bursty_arrivals_00000073,37.583647094206256,81.99285554852365,7000,0,0,,user_0129
bursty_arrivals_00000074,37.86947356525064,75.92525460397127,5000,0,0,,user_0170
bursty_arrivals_00000075,38.23060590491482,33.639900184469965,3000,0,0,,user_0013
bursty_arrivals_00000076,38.3791290787811,40.36392429390642,5000,0,0,,user_0105
bursty_arrivals_00000077,38.8046843517438,13.956221477454903,6000,0,0,,user_0166
bursty_arrivals_00000078,39.57150636796582,512.5197367551813,7000,1000,1,A100,user_0088
bursty_arrivals_00000079,41.36128978896953,2378.303327438602,4000,4000,4,H100,user_0104
bursty_arrivals_00000080,43.92187304400214,1378.066901610828,8000,0,0,,user_0099
