pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
checkpoint_io_burst_00000000,2.4042086039659947,230.31714093935335,3000,1000,1,A100,user_0085
checkpoint_io_burst_00000001,4.740398259790448,1473.689139836856,2000,2000,2,V100,user_0043
checkpoint_io_burst_00000002,7.125159259664702,101.35191605691112,3000,1000,1,H100,user_0028
checkpoint_io_burst_00000003,7.404953549516286,179.38083236441406,6000,1000,1,T4,user_0019
checkpoint_io_burst_00000004,7.491390949214662,247.6312398278688,4000,1000,1,H100,user_0117
checkpoint_io_burst_00000005,8.944051464920813,295.88161343385354,5000,0,0,,user_0000
checkpoint_io_burst_00000006,10.354012159178389,139.96416534301375,4000,0,0,,user_0129
checkpoint_io_burst_00000007,13.478308115727884,63.680513882604295,2000,0,0,,user_0086
checkpoint_io_burst_00000008,13.557602312911394,303.7738516024232,6000,0,0,,user_0073
checkpoint_io_burst_00000009,14.604163159454558,2148.3583393623667,4000,1000,1,A100,user_0153
checkpoint_io_burst_00000010,14.674599466252364,30.433949896977435,7000,8000,8,V100,user_0107
checkpoint_io_burst_00000011,15.763623094276324,621.0934808762576,4000,0,0,,user_0146
checkpoint_io_burst_00000012,17.494950447160132,168.41732489312298,6000,2000,2,A100,user_0141
checkpoint_io_burst_00000013,17.881845271750045,169.8970199348408,2000,1000,1,H100,user_0006
checkpoint_io_burst_00000014,19.113430934411618,41.647413246551565,5000,0,0,,user_0043
checkpoint_io_burst_00000015,19.267204188237844,178.71220733328423,5000,8000,8,V100,user_0113
checkpoint_io_burst_00000016,19.35878145562804,1222.3096561047792,6000,2000,2,A100,user_0195
checkpoint_io_burst_00000017,19.67396065776043,433.6597296948623,16000,1000,1,V100,user_0030
checkpoint_io_burst_00000018,20.575159933130585,2157.078406459167,8000,0,0,,user_0021
checkpoint_io_burst_00000019,20.988145262869075,981.9295890108892,7000,0,0,,user_0188
checkpoint_io_burst_00000020,22.235531212682695,354.98379331147527,4000,0,0,,user_0193
