node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,121000,8,8000,H100
node_0001,121000,8,8000,V100
node_0002,121000,8,8000,V100
node_0003,121000,8,8000,V100
node_0004,121000,8,8000,T4
node_0005,121000,8,8000,T4
node_0006,121000,8,8000,H100
node_0007,121000,8,8000,H100
node_0008,121000,8,8000,H100
node_0009,121000,8,8000,T4
node_0010,121000,8,8000,T4
node_0011,121000,8,8000,V100
node_0012,121000,8,8000,T4
node_0013,121000,8,8000,V100
node_0014,121000,8,8000,H100
node_0015,121000,8,8000,V100
node_0016,121000,8,8000,T4
node_0017,121000,8,8000,H100
node_0018,121000,8,8000,A100
node_0019,121000,8,8000,A100
