pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
cold_start_storm_00000000,7213.818192397921,5.669821828395858,2000,2000,2,V100,user_0115
cold_start_storm_00000001,7213.958089542847,14.438428490801227,6000,2000,2,V100,user_0127
cold_start_storm_00000002,7214.001308242696,2.6241881978784303,4000,4000,4,V100,user_0082
cold_start_storm_00000003,7214.727638500549,18.296827466012537,5000,0,0,,user_0081
cold_start_storm_00000004,7215.432618847678,28.272779145349897,6000,1000,1,H100,user_0135
cold_start_storm_00000005,7216.994766825953,35.878558076422664,4000,0,0,,user_0149
cold_start_storm_00000006,7217.034413924544,11.288591031044607,4000,1000,1,T4,user_0161
cold_start_storm_00000007,7217.557694347816,3.775461673783264,2000,4000,4,V100,user_0066
cold_start_storm_00000008,7217.592912501215,2.744651815735282,3000,2000,2,A100,user_0084
cold_start_storm_00000009,7218.137424315227,2.6997934426037014,3000,2000,2,A100,user_0066
cold_start_storm_00000010,7219.003087991668,0.5147903600596042,6000,1000,1,A100,user_0105
cold_start_storm_00000011,7219.196535403964,20.22526439894077,2000,1000,1,H100,user_0025
cold_start_storm_00000012,7219.812328235294,10.040465055248172,7000,1000,1,V100,user_0086
cold_start_storm_00000013,7219.889214862208,32.827973653089714,6000,0,0,,user_0037
cold_start_storm_00000014,7219.9350034959025,1.9135101261043308,3000,2000,2,T4,user_0106
cold_start_storm_00000015,7220.092593096969,45.67599307372616,2000,1000,1,A100,user_0170
cold_start_storm_00000016,7220.543192734654,8.623437818684884,3000,1000,1,A100,user_0197
cold_start_storm_00000017,7220.7496853995235,1.7578456281502324,6000,0,0,,user_0089
cold_start_storm_00000018,7221.37337837443,0.2808467593931078,4000,1000,1,V100,user_0011
cold_start_storm_00000019,7221.485166560536,3.31236797080184,6000,1000,1,H100,user_0045
cold_start_storm_00000020,7222.404151692608,28.462281462128903,5000,1000,1,A100,user_0020
cold_start_storm_00000021,7223.017694624215,3.306581332333743,4000,1000,1,T4,user_0151
cold_start_storm_00000022,7223.345592701197,18.41592148222143,3000,0,0,,user_0196
cold_start_storm_00000023,7223.554136054353,1.2145318544286237,6000,4000,4,A100,user_0110
cold_start_storm_00000024,7223.780795899002,8.74635774913689,8000,1000,1,V100,user_0035
cold_start_storm_00000025,7223.81933447253,14.717856248777876,7000,0,0,,user_0004
cold_start_storm_00000026,7223.909150599718,26.23090554798778,3000,4000,4,V100,user_0195
cold_start_storm_00000027,7224.251810825519,16.155184265336587,3000,0,0,,user_0063
cold_start_storm_00000028,7224.4461509436,0.6932223755724274,5000,1000,1,V100,user_0022
cold_start_storm_00000029,7225.078254372382,22.580717248153757,6000,2000,2,V100,user_0035
cold_start_storm_00000030,7225.43249968609,0.0813804914403321,5000,4000,4,H100,user_0051
cold_start_storm_00000031,7225.551464663239,2.977047477746178,1000,0,0,,user_0131
cold_start_storm_00000032,7225.782008831367,36.03796750166399,1000,0,0,,user_0178
cold_start_storm_00000033,7226.102787199963,18.75595849670272,4000,2000,2,H100,user_0055
cold_start_storm_00000034,7226.274703880682,17.55719977787215,3000,1000,1,A100,user_0137
cold_start_storm_00000035,7226.435659491135,10.45291917405834,6000,2000,2,A100,user_0012
cold_start_storm_00000036,7226.875116832231,18.181305271158013,4000,8000,8,T4,user_0002
cold_start_storm_00000037,7227.023590436695,3.0068085453757574,6000,4000,4,H100,user_0010
cold_start_storm_00000038,7227.690441649212,11.554675694085846,6000,1000,1,A100,user_0184
cold_start_storm_00000039,7228.385873642334,6.660261046575043,10000,1000,1,A100,user_0116
cold_start_storm_00000040,7228.927915106317,5.921779466590015,3000,0,0,,user_0161
cold_start_storm_00000041,7448.579992798486,16.004912785401924,3000,1000,1,H100,user_0004
cold_start_storm_00000042,7449.257161792419,4.340176960156393,4000,2000,2,A100,user_0004
cold_start_storm_00000043,7449.818181618147,14.377234470685638,7000,1000,1,V100,user_0169
cold_start_storm_00000044,7449.958206178266,7.855818602108413,1000,0,0,,user_0020
cold_start_storm_00000045,7450.118674273784,31.04737327746689,2000,1000,1,V100,user_0031
cold_start_storm_00000046,7450.201542227434,4.004044576545282,5000,8000,8,A100,user_0103
cold_start_storm_00000047,7450.37872398378,1.0973566498257608,8000,1000,1,A100,user_0121
cold_start_storm_00000048,7450.389293861985,33.24028098521373,3000,1000,1,V100,user_0045
cold_start_storm_00000049,7450.472972060043,51.21865964101458,1000,1000,1,V100,user_0088
cold_start_storm_00000050,7451.130500482316,16.871836912928202,3000,4000,4,H100,user_0134
cold_start_storm_00000051,7453.128378617908,0.6953973889596138,5000,8000,8,T4,user_0088
cold_start_storm_00000052,7453.410147664103,0.2749707729180357,2000,1000,1,T4,user_0076
cold_start_storm_00000053,7453.552167514903,1.6226535626231229,2000,1000,1,H100,user_0014
cold_start_storm_00000054,7453.751045641857,31.75736707567493,4000,1000,1,V100,user_0090
cold_start_storm_00000055,7453.9317167533245,52.846432855396586,8000,4000,4,V100,user_0160
cold_start_storm_00000056,7453.996533554936,2.302864340754356,5000,0,0,,user_0125
