node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,122000,8,8000,H100
node_0001,122000,8,8000,T4
node_0002,122000,8,8000,T4
node_0003,122000,8,8000,T4
node_0004,122000,8,8000,V100
node_0005,122000,8,8000,V100
node_0006,122000,8,8000,H100
node_0007,122000,8,8000,H100
node_0008,122000,8,8000,H100
node_0009,122000,8,8000,V100
node_0010,122000,8,8000,V100
node_0011,122000,8,8000,T4
node_0012,122000,8,8000,V100
node_0013,122000,8,8000,T4
node_0014,122000,8,8000,H100
node_0015,122000,8,8000,T4
node_0016,122000,8,8000,V100
node_0017,122000,8,8000,A100
node_0018,122000,8,8000,A100
node_0019,122000,8,8000,A100
