pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
diurnal_pattern_00000000,1.3356714466477748,137.46297663322065,2000,1000,1,A100,user_0181
diurnal_pattern_00000001,3.5359232749887277,37.61993355859629,6000,4000,4,V100,user_0191
diurnal_pattern_00000002,5.221117342957165,131.29107015397452,5000,2000,2,A100,user_0070
diurnal_pattern_00000003,5.271993602618383,19.307451978696136,6000,1000,1,V100,user_0045
diurnal_pattern_00000004,6.465652061053817,49.95651002119902,5000,4000,4,H100,user_0116
diurnal_pattern_00000005,7.851077848891296,250.77199443964264,5000,1000,1,A100,user_0186
diurnal_pattern_00000006,8.102922120723665,1184.6531069335188,3000,0,0,,user_0180
diurnal_pattern_00000007,8.812257186251722,9871.989758120078,4000,2000,2,T4,user_0114
diurnal_pattern_00000008,9.068417373061427,79.17013856451261,13000,1000,1,V100,user_0029
diurnal_pattern_00000009,9.259435907193536,1397.753088165797,5000,1000,1,T4,user_0084
diurnal_pattern_00000010,11.090935926743326,256.8876247875782,9000,1000,1,V100,user_0142
diurnal_pattern_00000011,12.344328789621205,146.6518654674004,4000,2000,2,H100,user_0112
diurnal_pattern_00000012,12.522626673530112,335.92676374611347,5000,4000,4,A100,user_0069
diurnal_pattern_00000013,12.719495291692036,198.43768796893937,6000,1000,1,V100,user_0068
diurnal_pattern_00000014,15.390881176045534,212.57367483047392,5000,0,0,,user_0011
diurnal_pattern_00000015,15.99272847319643,101.87884394953868,6000,1000,1,H100,user_0057
diurnal_pattern_00000016,18.00076700954064,25.30436681088029,4000,0,0,,user_0133
diurnal_pattern_00000017,18.58048449952764,20.668967078063528,3000,1000,1,T4,user_0048
diurnal_pattern_00000018,18.605180919678663,459.6535429488333,2000,1000,1,A100,user_0198
diurnal_pattern_00000019,18.95039374606364,122.75991686858488,10000,0,0,,user_0016
diurnal_pattern_00000020,20.07706129115044,78.11362115834847,6000,0,0,,user_0117
diurnal_pattern_00000021,20.104700580708062,183.95220860234252,3000,4000,4,T4,user_0099
diurnal_pattern_00000022,23.43712076586492,562.2211017740858,5000,0,0,,user_0166
diurnal_pattern_00000023,23.511797016330856,234.77435237074383,3000,1000,1,T4,user_0177
diurnal_pattern_00000024,23.57717608192813,71.76695878379411,4000,0,0,,user_0108
diurnal_pattern_00000025,24.53083896609173,1038.2802633127044,4000,1000,1,H100,user_0126
diurnal_pattern_00000026,24.745356334239,1715.2420640207818,9000,1000,1,H100,user_0139
diurnal_pattern_00000027,25.567147164743798,366.8444518962898,2000,2000,2,A100,user_0104
diurnal_pattern_00000028,25.84793754484335,724.8986449940245,6000,2000,2,A100,user_0036
diurnal_pattern_00000029,29.446432940424685,1061.6770637153095,5000,1000,1,A100,user_0085
diurnal_pattern_00000030,29.646075770266773,905.5165352485932,8000,4000,4,H100,user_0048
