pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
flash_crowd_00000000,7.362269751005512,15.39878671747639,8000,0,0,,user_0021
flash_crowd_00000001,22.71207313386048,289.5395687477972,7000,0,0,,user_0188
flash_crowd_00000002,30.817834567939407,2117.727332966001,4000,0,0,,user_0193
flash_crowd_00000003,43.80376578722878,20.95085423586843,4000,0,0,,user_0033
flash_crowd_00000004,58.30274168906602,620.0816955926906,6000,0,0,,user_0080
flash_crowd_00000005,63.81725610417532,114.06924055447166,10000,1000,1,V100,user_0125
flash_crowd_00000006,87.649919316101,166.6007383487465,4000,0,0,,user_0039
flash_crowd_00000007,90.04786077564175,41.02559010342373,6000,0,0,,user_0065
flash_crowd_00000008,94.17734788764952,113.11492318997612,9000,2000,2,V100,user_0079
flash_crowd_00000009,96.39096215349927,1153.11688013456,6000,0,0,,user_0128
flash_crowd_00000010,114.53007353597344,415.7731410410871,4000,1000,1,V100,user_0061
flash_crowd_00000011,118.00590212051532,2132.728444035479,3000,1000,1,A100,user_0082
flash_crowd_00000012,128.1136326755459,968.5465977342894,7000,0,0,,user_0057
flash_crowd_00000013,129.92150533547164,339.039868727894,2000,1000,1,H100,user_0151
flash_crowd_00000014,139.75248360930982,2168.288632129141,13000,8000,8,V100,user_0030
flash_crowd_00000015,139.79699812765745,338.99482013976177,6000,0,0,,user_0046
flash_crowd_00000016,152.31210271316843,589.2750598192963,9000,2000,2,H100,user_0049
flash_crowd_00000017,154.28949206754783,119.35175483944424,1000,2000,2,H100,user_0181
flash_crowd_00000018,161.2717790336018,199.74582462149704,3000,2000,2,T4,user_0188
flash_crowd_00000019,166.9729199077039,67.69380333858412,5000,2000,2,H100,user_0100
flash_crowd_00000020,176.77278293923172,741.4972256798615,4000,0,0,,user_0031
flash_crowd_00000021,189.4713590842857,34.40559597551306,8000,1000,1,H100,user_0151
flash_crowd_00000022,194.6387078519676,552.2534888551796,9000,1000,1,V100,user_0098
flash_crowd_00000023,199.9082024751083,138.68336001709514,5000,1000,1,A100,user_0169
flash_crowd_00000024,202.36336479523032,960.0913871668556,1000,0,0,,user_0071
flash_crowd_00000025,214.5846728195292,528.0815018609468,11000,0,0,,user_0199
flash_crowd_00000026,226.9093490508841,2418.3330826429988,6000,0,0,,user_0161
flash_crowd_00000027,227.23872178477689,513.2093881240428,4000,1000,1,V100,user_0044
flash_crowd_00000028,233.93948586534077,19.8705435705849,5000,1000,1,T4,user_0145
flash_crowd_00000029,265.8699614595196,165.2757348510658,3000,0,0,,user_0057
flash_crowd_00000030,271.6670779534351,34.7105651272334,2000,1000,1,H100,user_0069
flash_crowd_00000031,272.241561845159,87.19882369279846,7000,0,0,,user_0050
flash_crowd_00000032,281.38389202199653,1557.1826401447884,2000,2000,2,A100,user_0136
flash_crowd_00000033,288.3281039302441,449.5022789736009,4000,1000,1,H100,user_0052
flash_crowd_00000034,292.63554851306725,67.54994173128561,4000,2000,2,H100,user_0127
flash_crowd_00000035,293.3976859634345,43.34810726726509,2000,8000,8,H100,user_0116
flash_crowd_00000036,293.5937577666836,190.3998806779624,7000,0,0,,user_0150
flash_crowd_00000037,297.4913949484489,32.610235126372515,6000,2000,2,H100,user_0198
flash_crowd_00000038,301.5120891478765,70.25381614640607,5000,1000,1,V100,user_0001
flash_crowd_00000039,303.9500980626122,283.03891568349337,3000,4000,4,V100,user_0198
flash_crowd_00000040,305.9566241506525,938.5765458784418,6000,0,0,,user_0021
flash_crowd_00000041,312.1135804321684,431.490161141461,9000,1000,1,T4,user_0105
flash_crowd_00000042,312.36664138204105,7.474274696373102,4000,1000,1,H100,user_0068
flash_crowd_00000043,312.7707006512904,279.9828882126935,1000,0,0,,user_0127
flash_crowd_00000044,316.2658527647821,201.30773569953195,4000,0,0,,user_0144
flash_crowd_00000045,325.825358138152,327.1170120728559,3000,1000,1,V100,user_0171
flash_crowd_00000046,326.4596852748671,1808.008911917589,4000,4000,4,A100,user_0080
flash_crowd_00000047,326.64773773045044,10.139702106768622,6000,0,0,,user_0186
flash_crowd_00000048,326.82789990814985,78.66606300892514,3000,2000,2,A100,user_0064
