pod_id,submit_time,duration,milli_cpu,milli_gpu,gpu_number,gpu_type,user
gpu_fragmentation_sharing_00000000,1.6028057359773298,225.68753902719675,3000,500,1,A100,user_0085
gpu_fragmentation_sharing_00000001,3.160265506526965,1471.6001671564704,2000,250,1,V100,user_0043
gpu_fragmentation_sharing_00000002,4.750106173109802,5.220259314649679,3000,1000,1,H100,user_0028
gpu_fragmentation_sharing_00000003,4.936635699677524,129.8921927036559,6000,1000,1,T4,user_0019
gpu_fragmentation_sharing_00000004,4.994260632809775,233.49393999558063,4000,750,1,H100,user_0117
gpu_fragmentation_sharing_00000005,5.962700976613876,276.6728955792917,5000,0,0,,user_0000
gpu_fragmentation_sharing_00000006,6.902674772785591,107.27025064449896,4000,0,0,,user_0129
gpu_fragmentation_sharing_00000007,8.985538743818589,15.39878671747639,2000,0,0,,user_0086
gpu_fragmentation_sharing_00000008,9.038401541940928,289.5395687477972,6000,0,0,,user_0073
gpu_fragmentation_sharing_00000009,9.736108772969704,2117.727332966001,4000,500,1,A100,user_0153
gpu_fragmentation_sharing_00000010,9.78306631083491,20.95085423586843,7000,250,1,V100,user_0107
gpu_fragmentation_sharing_00000011,10.509082062850885,620.0816955926906,4000,0,0,,user_0146
gpu_fragmentation_sharing_00000012,11.663300298106757,114.06924055447166,6000,2000,2,A100,user_0141
gpu_fragmentation_sharing_00000013,11.921230181166695,166.6007383487465,2000,750,1,H100,user_0006
gpu_fragmentation_sharing_00000014,12.742287289607743,41.02559010342373,5000,0,0,,user_0043
gpu_fragmentation_sharing_00000015,12.84480279215856,113.11492318997612,5000,8000,8,V100,user_0113
gpu_fragmentation_sharing_00000016,12.905854303752022,1153.11688013456,6000,2000,2,A100,user_0195
gpu_fragmentation_sharing_00000017,13.115973771840284,415.7731410410871,16000,1000,1,V100,user_0030
gpu_fragmentation_sharing_00000018,13.716773288753725,2132.728444035479,8000,0,0,,user_0021
gpu_fragmentation_sharing_00000019,13.992096841912716,968.5465977342894,7000,0,0,,user_0188
gpu_fragmentation_sharing_00000020,14.823687475121798,339.039868727894,4000,0,0,,user_0193
gpu_fragmentation_sharing_00000021,14.972738389930011,2168.288632129141,4000,0,0,,user_0033
gpu_fragmentation_sharing_00000022,16.198051899359655,338.99482013976177,6000,0,0,,user_0080
gpu_fragmentation_sharing_00000023,17.016109141502493,589.2750598192963,10000,750,1,V100,user_0125
gpu_fragmentation_sharing_00000024,17.45330657747783,119.35175483944424,4000,0,0,,user_0039
gpu_fragmentation_sharing_00000025,17.731364381685708,199.74582462149704,6000,0,0,,user_0065
gpu_fragmentation_sharing_00000026,18.03357750788455,67.69380333858412,9000,2000,2,H100,user_0079
gpu_fragmentation_sharing_00000027,18.08496227258832,741.4972256798615,6000,0,0,,user_0128
gpu_fragmentation_sharing_00000028,18.20471710883802,34.40559597551306,4000,750,1,H100,user_0061
gpu_fragmentation_sharing_00000029,18.66159740990752,552.2534888551796,3000,750,1,H100,user_0082
gpu_fragmentation_sharing_00000030,18.920717567347403,138.68336001709514,7000,0,0,,user_0057
gpu_fragmentation_sharing_00000031,19.763522139057475,960.0913871668556,2000,750,1,V100,user_0151
gpu_fragmentation_sharing_00000032,20.23584922400156,528.0815018609468,13000,500,1,A100,user_0030
gpu_fragmentation_sharing_00000033,20.39446919353357,2418.3330826429988,6000,0,0,,user_0046
gpu_fragmentation_sharing_00000034,20.701861417705217,513.2093881240428,9000,750,1,V100,user_0049
gpu_fragmentation_sharing_00000035,21.12956590916556,19.8705435705849,1000,2000,2,V100,user_0181
gpu_fragmentation_sharing_00000036,21.358788150124088,165.2757348510658,3000,500,1,V100,user_0188
gpu_fragmentation_sharing_00000037,21.573395630728296,34.7105651272334,5000,500,1,T4,user_0100
gpu_fragmentation_sharing_00000038,22.159338752189992,87.19882369279846,4000,0,0,,user_0031
gpu_fragmentation_sharing_00000039,22.35730355814253,1557.1826401447884,8000,750,1,H100,user_0151
gpu_fragmentation_sharing_00000040,23.24643850816378,449.5022789736009,9000,500,1,A100,user_0098
gpu_fragmentation_sharing_00000041,24.17368116566105,67.54994173128561,5000,1000,1,A100,user_0169
gpu_fragmentation_sharing_00000042,24.89640311763785,43.34810726726509,1000,0,0,,user_0071
gpu_fragmentation_sharing_00000043,24.945088682958136,190.3998806779624,11000,0,0,,user_0199
gpu_fragmentation_sharing_00000044,25.70113368410664,32.610235126372515,6000,0,0,,user_0161
gpu_fragmentation_sharing_00000045,26.604025676016757,70.25381614640607,4000,500,1,H100,user_0044
gpu_fragmentation_sharing_00000046,27.352052110321704,283.03891568349337,5000,750,1,H100,user_0145
gpu_fragmentation_sharing_00000047,27.538751523812653,938.5765458784418,3000,0,0,,user_0057
gpu_fragmentation_sharing_00000048,27.752708984503343,431.490161141461,2000,1000,1,V100,user_0069
gpu_fragmentation_sharing_00000049,27.863199589371074,7.474274696373102,7000,0,0,,user_0050
