node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,123000,8,8000,A100
node_0001,123000,8,8000,A100
node_0002,123000,8,8000,A100
node_0003,123000,8,8000,A100
node_0004,123000,8,8000,A100
node_0005,123000,8,8000,T4
node_0006,123000,8,8000,A100
node_0007,123000,8,8000,A100
node_0008,123000,8,8000,A100
node_0009,123000,8,8000,T4
node_0010,123000,8,8000,A100
node_0011,123000,8,8000,A100
node_0012,123000,8,8000,V100
node_0013,123000,8,8000,A100
node_0014,123000,8,8000,A100
node_0015,123000,8,8000,A100
node_0016,123000,8,8000,V100
node_0017,123000,8,8000,A100
node_0018,123000,8,8000,A100
node_0019,123000,8,8000,A100
