node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,127000,8,8000,V100
node_0001,127000,8,8000,A100
node_0002,127000,8,8000,A100
node_0003,127000,8,8000,A100
node_0004,127000,8,8000,T4
node_0005,127000,8,8000,T4
node_0006,127000,8,8000,V100
node_0007,127000,8,8000,V100
node_0008,127000,8,8000,V100
node_0009,127000,8,8000,T4
node_0010,127000,8,8000,T4
node_0011,127000,8,8000,A100
node_0012,127000,8,8000,T4
node_0013,127000,8,8000,A100
node_0014,127000,8,8000,V100
node_0015,127000,8,8000,A100
node_0016,127000,8,8000,T4
node_0017,127000,8,8000,V100
node_0018,127000,8,8000,H100
node_0019,127000,8,8000,H100
