node_id,milli_cpu_capacity,gpu_count,milli_gpu_capacity,gpu_type
node_0000,167000,8,8000,A100
node_0001,167000,8,8000,H100
node_0002,167000,8,8000,H100
node_0003,167000,8,8000,H100
node_0004,167000,8,8000,T4
node_0005,167000,8,8000,T4
node_0006,167000,8,8000,A100
node_0007,167000,8,8000,A100
node_0008,167000,8,8000,V100
node_0009,167000,8,8000,T4
node_0010,167000,8,8000,T4
node_0011,167000,8,8000,H100
node_0012,167000,8,8000,T4
node_0013,167000,8,8000,H100
node_0014,167000,8,8000,A100
node_0015,167000,8,8000,H100
node_0016,167000,8,8000,T4
node_0017,167000,8,8000,V100
node_0018,167000,8,8000,V100
node_0019,167000,8,8000,V100
