scenario,algorithm,mode,n_submitted,n_admitted,rejection_rate,jains_fairness_per_user_admission,packing_efficiency,gpu_utilization,offered_load_ratio
baseline,random,static,300,185,0.3833333333333333,0.7026541191800072,1.0,1.0,2.51875
baseline,first_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
baseline,best_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
baseline,worst_fit,static,300,188,0.3733333333333333,0.7047325780751715,1.0,1.0,2.51875
baseline,round_robin,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
baseline,gpu_packing,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
baseline,least_requested,static,300,194,0.3533333333333334,0.7214206982669906,1.0,1.0,2.51875
baseline,fgd,static,300,185,0.3833333333333333,0.7119123895859715,1.0,0.99375,2.51875
baseline,w_fgd,static,300,183,0.39,0.6919412474888117,1.0,1.0,2.51875
baseline,w_fgd_balanced,static,300,195,0.35,0.7291201401479042,1.0,1.0,2.51875
bursty_arrivals,random,static,300,217,0.2766666666666666,0.7960160143711537,1.0,1.0,2.3125
bursty_arrivals,first_fit,static,300,209,0.30333333333333334,0.7720267536580309,1.0,0.98125,2.3125
bursty_arrivals,best_fit,static,300,209,0.30333333333333334,0.7720267536580309,1.0,0.98125,2.3125
bursty_arrivals,worst_fit,static,300,216,0.28,0.791283204996664,1.0,1.0,2.3125
bursty_arrivals,round_robin,static,300,220,0.2666666666666667,0.798870674874331,1.0,1.0,2.3125
bursty_arrivals,gpu_packing,static,300,211,0.29666666666666663,0.7727257432718547,1.0,1.0,2.3125
bursty_arrivals,least_requested,static,300,229,0.2366666666666667,0.829307763527123,1.0,1.0,2.3125
bursty_arrivals,fgd,static,300,218,0.2733333333333333,0.7972465997219784,1.0,1.0,2.3125
bursty_arrivals,w_fgd,static,300,222,0.26,0.8105457676512613,1.0,0.975,2.3125
bursty_arrivals,w_fgd_balanced,static,300,228,0.24,0.8270808545011953,1.0,0.99375,2.3125
checkpoint_io_burst,random,static,300,185,0.3833333333333333,0.7026541191800072,1.0,1.0,2.51875
checkpoint_io_burst,first_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
checkpoint_io_burst,best_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
checkpoint_io_burst,worst_fit,static,300,188,0.3733333333333333,0.7047325780751715,1.0,1.0,2.51875
checkpoint_io_burst,round_robin,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
checkpoint_io_burst,gpu_packing,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
checkpoint_io_burst,least_requested,static,300,194,0.3533333333333334,0.7214206982669906,1.0,1.0,2.51875
checkpoint_io_burst,fgd,static,300,185,0.3833333333333333,0.7119123895859715,1.0,0.99375,2.51875
checkpoint_io_burst,w_fgd,static,300,183,0.39,0.6919412474888117,1.0,1.0,2.51875
checkpoint_io_burst,w_fgd_balanced,static,300,195,0.35,0.7291201401479042,1.0,1.0,2.51875
cold_start_storm,random,static,300,204,0.31999999999999995,0.7668620931308214,1.0,1.0,2.8125
cold_start_storm,first_fit,static,300,192,0.36,0.729713155643742,1.0,1.0,2.8125
cold_start_storm,best_fit,static,300,192,0.36,0.729713155643742,1.0,1.0,2.8125
cold_start_storm,worst_fit,static,300,202,0.32666666666666666,0.7542646610887365,1.0,1.0,2.8125
cold_start_storm,round_robin,static,300,197,0.3433333333333334,0.7492326886476138,1.0,1.0,2.8125
cold_start_storm,gpu_packing,static,300,192,0.36,0.729713155643742,1.0,1.0,2.8125
cold_start_storm,least_requested,static,300,205,0.31666666666666665,0.7668620931308214,1.0,1.0,2.8125
cold_start_storm,fgd,static,300,195,0.35,0.7359512292100469,1.0,1.0,2.8125
cold_start_storm,w_fgd,static,300,198,0.33999999999999997,0.7603631492854355,1.0,1.0,2.8125
cold_start_storm,w_fgd_balanced,static,300,194,0.3533333333333334,0.7437897066700349,1.0,0.9625,2.8125
diurnal_pattern,random,static,300,191,0.3633333333333333,0.7503373621667585,1.0,1.0,3.01875
diurnal_pattern,first_fit,static,300,181,0.3966666666666666,0.7175640381270172,1.0,1.0,3.01875
diurnal_pattern,best_fit,static,300,181,0.3966666666666666,0.7175640381270172,1.0,1.0,3.01875
diurnal_pattern,worst_fit,static,300,187,0.3766666666666667,0.7355458672986546,1.0,1.0,3.01875
diurnal_pattern,round_robin,static,300,187,0.3766666666666667,0.7355458672986546,1.0,1.0,3.01875
diurnal_pattern,gpu_packing,static,300,181,0.3966666666666666,0.7175640381270172,1.0,1.0,3.01875
diurnal_pattern,least_requested,static,300,194,0.3533333333333334,0.758856976756429,1.0,1.0,3.01875
diurnal_pattern,fgd,static,300,191,0.3633333333333333,0.7440461177646304,1.0,1.0,3.01875
diurnal_pattern,w_fgd,static,300,188,0.3733333333333333,0.737915729908282,1.0,1.0,3.01875
diurnal_pattern,w_fgd_balanced,static,300,195,0.35,0.7580055169105301,1.0,1.0,3.01875
flash_crowd,random,static,300,204,0.31999999999999995,0.7701417741141475,1.0,1.0,2.4875
flash_crowd,first_fit,static,300,198,0.33999999999999997,0.7638650018662781,1.0,0.99375,2.4875
flash_crowd,best_fit,static,300,198,0.33999999999999997,0.7638650018662781,1.0,0.99375,2.4875
flash_crowd,worst_fit,static,300,204,0.31999999999999995,0.7701417741141475,1.0,1.0,2.4875
flash_crowd,round_robin,static,300,203,0.32333333333333336,0.7755297538134649,1.0,1.0,2.4875
flash_crowd,gpu_packing,static,300,199,0.33666666666666667,0.7649245325967996,1.0,1.0,2.4875
flash_crowd,least_requested,static,300,214,0.2866666666666666,0.795937090151849,1.0,1.0,2.4875
flash_crowd,fgd,static,300,203,0.32333333333333336,0.769071785777322,1.0,0.99375,2.4875
flash_crowd,w_fgd,static,300,199,0.33666666666666667,0.7649245325967996,1.0,1.0,2.4875
flash_crowd,w_fgd_balanced,static,300,209,0.30333333333333334,0.7923282171002053,1.0,0.9875,2.4875
gpu_fragmentation_sharing,random,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,first_fit,static,300,237,0.20999999999999996,0.856910935572137,1.0,0.6921875,1.0421875
gpu_fragmentation_sharing,best_fit,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,worst_fit,static,300,239,0.20333333333333337,0.8635182894697622,1.0,0.690625,1.0421875
gpu_fragmentation_sharing,round_robin,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,gpu_packing,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,least_requested,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,fgd,static,300,238,0.20666666666666667,0.858187277991685,1.0,0.696875,1.0421875
gpu_fragmentation_sharing,w_fgd,static,300,239,0.20333333333333337,0.8635182894697622,1.0,0.690625,1.0421875
gpu_fragmentation_sharing,w_fgd_balanced,static,300,237,0.20999999999999996,0.856910935572137,1.0,0.69375,1.0421875
heavy_tail_demand,random,static,300,185,0.3833333333333333,0.7026541191800072,1.0,1.0,2.51875
heavy_tail_demand,first_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
heavy_tail_demand,best_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
heavy_tail_demand,worst_fit,static,300,188,0.3733333333333333,0.7047325780751715,1.0,1.0,2.51875
heavy_tail_demand,round_robin,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
heavy_tail_demand,gpu_packing,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
heavy_tail_demand,least_requested,static,300,194,0.3533333333333334,0.7214206982669906,1.0,1.0,2.51875
heavy_tail_demand,fgd,static,300,185,0.3833333333333333,0.7119123895859715,1.0,0.99375,2.51875
heavy_tail_demand,w_fgd,static,300,183,0.39,0.6919412474888117,1.0,1.0,2.51875
heavy_tail_demand,w_fgd_balanced,static,300,195,0.35,0.7291201401479042,1.0,1.0,2.51875
