scenario,algorithm,granularity,n_submitted,n_admitted,rejection_rate,fragmentation_or_unallocated,gpu_utilization
baseline,random,node,300,185,0.3833333333333333,1.0,1.0
baseline,first_fit,node,300,180,0.4,1.0,1.0
baseline,best_fit,node,300,180,0.4,1.0,1.0
baseline,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
baseline,round_robin,node,300,180,0.4,1.0,1.0
baseline,gpu_packing,node,300,180,0.4,1.0,1.0
baseline,least_requested,node,300,194,0.3533333333333334,1.0,1.0
baseline,fgd,node,300,185,0.3833333333333333,1.0,0.99375
baseline,w_fgd,node,300,183,0.39,1.0,1.0
baseline,w_fgd_balanced,node,300,195,0.35,1.0,1.0
baseline,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
baseline,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
baseline,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
bursty_arrivals,random,node,300,217,0.2766666666666666,1.0,1.0
bursty_arrivals,first_fit,node,300,209,0.30333333333333334,1.0,0.98125
bursty_arrivals,best_fit,node,300,209,0.30333333333333334,1.0,0.98125
bursty_arrivals,worst_fit,node,300,216,0.28,1.0,1.0
bursty_arrivals,round_robin,node,300,220,0.2666666666666667,1.0,1.0
bursty_arrivals,gpu_packing,node,300,211,0.29666666666666663,1.0,1.0
bursty_arrivals,least_requested,node,300,229,0.2366666666666667,1.0,1.0
bursty_arrivals,fgd,node,300,218,0.2733333333333333,1.0,1.0
bursty_arrivals,w_fgd,node,300,222,0.26,1.0,0.975
bursty_arrivals,w_fgd_balanced,node,300,228,0.24,1.0,0.99375
bursty_arrivals,h-tafm-cut,numa,300,222,0.26,67.0,0.58125
bursty_arrivals,h-tafm-entropy,numa,300,222,0.26,67.0,0.58125
bursty_arrivals,h-tafm-hier,numa,300,222,0.26,67.0,0.58125
checkpoint_io_burst,random,node,300,185,0.3833333333333333,1.0,1.0
checkpoint_io_burst,first_fit,node,300,180,0.4,1.0,1.0
checkpoint_io_burst,best_fit,node,300,180,0.4,1.0,1.0
checkpoint_io_burst,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
checkpoint_io_burst,round_robin,node,300,180,0.4,1.0,1.0
checkpoint_io_burst,gpu_packing,node,300,180,0.4,1.0,1.0
